"","barrio_nombre","codigo_manzana","anos","cambio_relativo","diferencia","porc","val1","val2"
"2332","LA CABANA FONTIBON",6402032,"2012 a 2020 ","aumento",1345000,342.3,555000,1900000
"2333","SAN JOSE DE FONTIBON",6403029,"2012 a 2020 ","aumento",374000,290.8,196000,570000
"2334","VILLA ALCAZAR",9263099,"2012 a 2020 ","aumento",920000,342.1,380000,1300000
"2335","JORGE GAITAN CORTES",4210056,"2012 a 2020 ","aumento",1875000,400,625000,2500000
"2336","SAN RAFAEL",4302004,"2012 a 2020 ","aumento",1810000,435.2,540000,2350000
"2337","BARCELONA",4303004,"2012 a 2020 ","aumento",1820000,443.4,530000,2350000
"2338","GALAN",4304031,"2012 a 2020 ","aumento",1800000,460,5e+05,2300000
"2339","LA PRADERA",4305012,"2012 a 2020 ","aumento",899427,341.8,372000,1271427
"2340","COLON",4308016,"2012 a 2020 ","aumento",1800000,427.3,550000,2350000
"2341","LA CAMELIA",4309013,"2012 a 2020 ","aumento",1900000,416.7,6e+05,2500000
"2342","AUTOPISTA MUZU",4404025,"2012 a 2020 ","aumento",1220000,256.4,780000,2e+06
"2343","OSPINA PEREZ SUR",4405033,"2012 a 2020 ","aumento",2100000,481.8,550000,2650000
"2344","ALCALA",4407039,"2012 a 2020 ","aumento",681000,251.3,450000,1131000
"2345","TEJAR",4408027,"2012 a 2020 ","aumento",381000,286.8,204000,585000
"2346","MONACO",9111018,"2012 a 2020 ","aumento",1300000,208.3,1200000,2500000
"2347","MONACO",9111050,"2012 a 2020 ","aumento",1250000,200,1250000,2500000
"2348","NIZA SUBA",9112003,"2012 a 2020 ","aumento",950000,195,1e+06,1950000
"2349","BATAN",9118026,"2012 a 2020 ","aumento",237039,218.5,2e+05,437039
"2350","BATAN",9118054,"2012 a 2020 ","aumento",1350000,235,1e+06,2350000
"2351","NUEVA ZELANDIA",9120053,"2012 a 2020 ","aumento",1500000,287.5,8e+05,2300000
"2352","LAS VILLAS",9122012,"2012 a 2020 ","aumento",1250000,225,1e+06,2250000
"2353","ALCAZARES",7302001,"2012 a 2020 ","aumento",2200000,375,8e+05,3e+06
"2354","CONCEPCION NORTE",7304010,"2012 a 2020 ","aumento",2100000,362.5,8e+05,2900000
"2355","LA ESPERANZA",7305015,"2012 a 2020 ","aumento",2115000,369.4,785000,2900000
"2356","SIETE DE AGOSTO",7311014,"2012 a 2020 ","aumento",2700000,345.5,1100000,3800000
"2357","POLO CLUB",7401036,"2012 a 2020 ","aumento",1900000,272.7,1100000,3e+06
"2358","JUAN XXIII",7402013,"2012 a 2020 ","aumento",2375000,387.9,825000,3200000
"2359","SAN FELIPE",7403004,"2012 a 2020 ","aumento",2100000,333.3,9e+05,3e+06
"2360","LA FRAGUA",2107032,"2012 a 2020 ","aumento",1650000,375,6e+05,2250000
"2361","LA FRAGUA",2107065,"2012 a 2020 ","aumento",1580000,403.8,520000,2100000
"2362","QUIROGA CENTRAL",2203002,"2012 a 2020 ","aumento",1550000,542.9,350000,1900000
"2363","SAN JOSE DE FONTIBON",6403041,"2012 a 2020 ","aumento",1260000,296.9,640000,1900000
"2364","FERROCAJA FONTIBON",6405018,"2012 a 2020 ","aumento",1220000,310.3,580000,1800000
"2365","FERROCAJA FONTIBON",6405058,"2012 a 2020 ","aumento",897799.67,169.1,1300000,2197799.67
"2366","EL CARMEN FONTIBON",6408011,"2012 a 2020 ","aumento",1400000,286.7,750000,2150000
"2367","EL CARMEN FONTIBON",6408072,"2012 a 2020 ","aumento",1500000,350,6e+05,2100000
"2368","SAN PABLO JERICO",6413063,"2012 a 2020 ","aumento",1200000,300,6e+05,1800000
"2369","LAS MERCEDES SUBA RURAL",9226023,"2012 a 2020 ","aumento",1130000,340.4,470000,1600000
"2370","LECH WALESA",9227042,"2012 a 2020 ","aumento",1800000,460,5e+05,2300000
"2371","LECH WALESA",9227084,"2012 a 2020 ","aumento",190000,138,5e+05,690000
"2372","LOMBARDIA",9228060,"2012 a 2020 ","aumento",1850000,384.6,650000,2500000
"2373","TOSCANA",9229068,"2012 a 2020 ","aumento",3e+05,183.3,360000,660000
"2374","SUBA CERROS",9231032,"2012 a 2020 ","aumento",1680000,863.6,220000,1900000
"2375","SUBA CERROS",9231067,"2012 a 2020 ","aumento",540000,307.7,260000,8e+05
"2376","SUBA CERROS",9231083,"2012 a 2020 ","aumento",510000,275.9,290000,8e+05
"2377","SABANA DE TIBABUYES",9232028,"2012 a 2020 ","aumento",1980000,375,720000,2700000
"2378","TIBABUYES",9233005,"2012 a 2020 ","aumento",1680000,333.3,720000,2400000
"2379","HIPOTECHO",4501058,"2012 a 2020 ","aumento",1050000,223.5,850000,1900000
"2380","PROVIVIENDA",4504050,"2012 a 2020 ","aumento",210000,138.9,540000,750000
"2381","PROVIVIENDA",4504057,"2012 a 2020 ","aumento",1760000,425.9,540000,2300000
"2382","LA CAMPINA",4506021,"2012 a 2020 ","aumento",1700000,440,5e+05,2200000
"2383","CIUDAD KENNEDY SUR",4507015,"2012 a 2020 ","aumento",1500000,400,5e+05,2e+06
"2384","SANTA SOFIA",7406020,"2012 a 2020 ","aumento",2200000,375,8e+05,3e+06
"2385","LA MERCED",8103003,"2012 a 2020 ","aumento",3250000,285.7,1750000,5e+06
"2386","QUINTA CAMACHO",8201002,"2012 a 2020 ","aumento",2300000,291.7,1200000,3500000
"2387","QUINTA RAMOS",1206002,"2012 a 2020 ","aumento",596000,252.8,390000,986000
"2388","NARINO SUR",1207017,"2012 a 2020 ","aumento",1350000,345.5,550000,1900000
"2389","GRANADA SUR",1301036,"2012 a 2020 ","aumento",1250000,327.3,550000,1800000
"2390","CORDOBA",1303029,"2012 a 2020 ","aumento",9e+05,357.1,350000,1250000
"2391","BELLO HORIZONTE",1304012,"2012 a 2020 ","aumento",990000,480.8,260000,1250000
"2392","BELLO HORIZONTE",1304036,"2012 a 2020 ","aumento",990000,480.8,260000,1250000
"2393","SANTA LUCIA",2205004,"2012 a 2020 ","aumento",1140000,416.7,360000,1500000
"2394","EDUARDO FREY",2301024,"2012 a 2020 ","aumento",101816,285.1,55000,156816
"2395","SANTANDER SUR",2302014,"2012 a 2020 ","aumento",1400000,300,7e+05,2100000
"2396","LIBERTADOR",2305032,"2012 a 2020 ","aumento",1370000,418.6,430000,1800000
"2397","MURILLO TORO",2310026,"2012 a 2020 ","aumento",1170000,407.9,380000,1550000
"2398","VILLA MAYOR",2311014,"2012 a 2020 ","aumento",6e+05,433.3,180000,780000
"2399","SAN VICENTE FERRER",2402091,"2012 a 2020 ","aumento",910000,479.2,240000,1150000
"2400","VENECIA OCCIDENTAL",2403013,"2012 a 2020 ","aumento",1510000,531.4,350000,1860000
"2401","FATIMA",2408004,"2012 a 2020 ","aumento",1380000,483.3,360000,1740000
"2402","FATIMA",2408015,"2012 a 2020 ","aumento",1380000,483.3,360000,1740000
"2403","VERONA",2412027,"2012 a 2020 ","aumento",406000,490.4,104000,510000
"2404","MADELENA",2415004,"2012 a 2020 ","aumento",3e+05,166.7,450000,750000
"2405","MADELENA",2415011,"2012 a 2020 ","aumento",2050000,555.6,450000,2500000
"2406","EL ENSUENO",2416026,"2012 a 2020 ","aumento",830000,238.3,6e+05,1430000
"2407","TIBABUYES",9233071,"2012 a 2020 ","aumento",1750000,369.2,650000,2400000
"2408","CIUDAD HUNZA",9235038,"2012 a 2020 ","aumento",1050000,333.3,450000,1500000
"2409","CIUDAD HUNZA",9235054,"2012 a 2020 ","aumento",1020000,250,680000,1700000
"2410","BOSQUES DE SAN JORGE",9241013,"2012 a 2020 ","aumento",1810000,362.3,690000,2500000
"2411","TUNA BAJA",9242016,"2012 a 2020 ","aumento",1210000,410.3,390000,1600000
"2412","PERDOMO ALTO",2450007,"2012 a 2020 ","aumento",1150000,428.6,350000,1500000
"2413","PERDOMO ALTO",2450035,"2012 a 2020 ","aumento",440000,246.7,3e+05,740000
"2414","ARBORIZADORA ALTA I",2460006,"2012 a 2020 ","aumento",228000,416.7,72000,3e+05
"2415","ARBORIZADORA ALTA I",2460060,"2012 a 2020 ","aumento",80800,369.3,30000,110800
"2416","COMPARTIR",2504013,"2012 a 2020 ","aumento",5e+05,377.8,180000,680000
"2417","COMPARTIR",2504048,"2012 a 2020 ","aumento",540000,485.7,140000,680000
"2418","TUNJUELITO",2508051,"2012 a 2020 ","aumento",950000,371.4,350000,1300000
"2419","TUNJUELITO",2508060,"2012 a 2020 ","aumento",850000,383.3,3e+05,1150000
"2420","SAN BENITO",2509016,"2012 a 2020 ","aumento",820000,315.8,380000,1200000
"2421","LA PICOTA",2511025,"2012 a 2020 ","aumento",350000,305.9,170000,520000
"2422","LA PICOTA",2511045,"2012 a 2020 ","aumento",340000,288.9,180000,520000
"2423","EMAUS",8202007,"2012 a 2020 ","aumento",2800000,200,2800000,5600000
"2424","MARIA CRISTINA",8205016,"2012 a 2020 ","aumento",3748973,1599.6,250000,3998973
"2425","VILLA HERMOSA",9242034,"2012 a 2020 ","aumento",1250000,457.1,350000,1600000
"2426","TUNA BAJA",9242028,"2012 a 2020 ","aumento",1250000,457.1,350000,1600000
"2427","JORGE URIBE BOTERO",4568046,"2012 a 2020 ","aumento",4e+05,300,2e+05,6e+05
"2428","CENTRO INDUSTRIAL",6218004,"2012 a 2020 ","aumento",1300000,285.7,7e+05,2e+06
"2429","JUAN REY SUR",1347070,"2012 a 2020 ","aumento",270000,640,50000,320000
"2430","CENTRO USME URBANO",2599026,"2012 a 2020 ","aumento",134400,193.3,144000,278400
"2431","EL VIRREY",2548039,"2012 a 2020 ","aumento",204000,206.2,192000,396000
"2432","LAS AGUAS",3103044,"2012 a 2020 ","aumento",336000,264.7,204000,540000
"2433","TINTALITO",4617046,"2012 a 2020 ","aumento",768000,574.1,162000,930000
"2434","DOCE DE OCTUBRE",5202049,"2012 a 2020 ","aumento",480000,313.3,225000,705000
"2435","CARACOLI",2445009,"2012 a 2020 ","aumento",320000,500,80000,4e+05
"2436","CARACOLI",2445040,"2012 a 2020 ","aumento",470000,687.5,80000,550000
"2437","CARACOLI",2445042,"2012 a 2020 ","aumento",470000,687.5,80000,550000
"2438","ALTAMIRA",1315055,"2012 a 2020 ","aumento",105900,1865,6000,111900
"2439","VILLA NELLY III SECTOR",4578010,"2012 a 2020 ","aumento",1080000,357.1,420000,1500000
"2440","VILLA NELLY III SECTOR",4578015,"2012 a 2020 ","aumento",1080000,357.1,420000,1500000
"2441","ESCOCIA",4579020,"2012 a 2020 ","aumento",1215000,462.7,335000,1550000
"2442","ESCOCIA",4579021,"2012 a 2020 ","aumento",1215000,462.7,335000,1550000
"2443","RENANIA URAPANES",4582008,"2012 a 2020 ","aumento",1650000,400,550000,2200000
"2444","RENANIA URAPANES",4582013,"2012 a 2020 ","aumento",1650000,400,550000,2200000
"2445","SANTA CATALINA",4584090,"2012 a 2020 ","aumento",1450000,293.3,750000,2200000
"2446","JIMENEZ DE QUESADA II SECTOR",4586009,"2012 a 2020 ","aumento",1300000,533.3,3e+05,1600000
"2447","JIMENEZ DE QUESADA II SECTOR",4586071,"2012 a 2020 ","aumento",1250000,457.1,350000,1600000
"2448","LOS SAUCES",4587016,"2012 a 2020 ","aumento",1150000,428.6,350000,1500000
"2449","SENA",2106002,"2012 a 2020 ","aumento",1300000,262.5,8e+05,2100000
"2450","QUIROGA SUR",2204022,"2012 a 2020 ","aumento",1750000,600,350000,2100000
"2451","SAMORE",2406036,"2012 a 2020 ","aumento",1380000,483.3,360000,1740000
"2452","SANTA FE BOSA",4633026,"2012 a 2020 ","aumento",1270000,484.8,330000,1600000
"2453","LAS ACACIAS",2513078,"2012 a 2020 ","aumento",9e+05,400,3e+05,1200000
"2454","SAN FRANCISCO",2515056,"2012 a 2020 ","aumento",62200,215.2,54000,116200
"2455","LUCERO DEL SUR",2517018,"2012 a 2020 ","aumento",630000,333.3,270000,9e+05
"2456","LUCERO DEL SUR",2517069,"2012 a 2020 ","aumento",670000,391.3,230000,9e+05
"2457","BOLONIA",2605056,"2012 a 2020 ","aumento",350000,488.9,90000,440000
"2458","EL BOSQUE CENTRAL I",2608013,"2012 a 2020 ","aumento",390000,533.3,90000,480000
"2459","CHAPINERITO",2610016,"2012 a 2020 ","aumento",236986.66,293.5,122500,359486.66
"2460","LA ORQUIDEA DE USME",2614035,"2012 a 2020 ","aumento",4e+05,335.3,170000,570000
"2461","LA ESPERANZA DE USME",2615019,"2012 a 2020 ","aumento",460000,611.1,90000,550000
"2462","PUERTA AL LLANO DE USME",2618017,"2012 a 2020 ","aumento",540000,437.5,160000,7e+05
"2463","EL NUEVO PORTAL II",2620040,"2012 a 2020 ","aumento",53991.78,160,90000,143991.78
"2464","ARRAYANES V",2625051,"2012 a 2020 ","aumento",212000,541.7,48000,260000
"2465","LA REFORMA",2627060,"2012 a 2020 ","aumento",480000,318.2,220000,7e+05
"2466","LAS AGUAS",3103002,"2012 a 2020 ","aumento",1572000,296.5,8e+05,2372000
"2467","CARACOLI",2445068,"2012 a 2020 ","aumento",470000,687.5,80000,550000
"2468","CIUDADELA COLSUBSIDIO",5650062,"2012 a 2020 ","aumento",1600000,277.8,9e+05,2500000
"2469","GARCES NAVAS",5627008,"2012 a 2020 ","aumento",1770000,336,750000,2520000
"2470","LOS SOCHES",1344038,"2012 a 2020 ","aumento",106916,294.4,55000,161916
"2471","LA CABANA",1348080,"2012 a 2020 ","aumento",129784,376.1,47000,176784
"2472","SUMAPAZ",2504017,"2012 a 2020 ","aumento",5e+05,377.8,180000,680000
"2473","LA CHUCUA",9221056,"2012 a 2020 ","aumento",1480000,384.6,520000,2e+06
"2474","NIZA NORTE",9123020,"2012 a 2020 ","aumento",1480000,248,1e+06,2480000
"2475","NIZA NORTE",9123026,"2012 a 2020 ","aumento",1580000,258,1e+06,2580000
"2476","PUENTE LARGO",9124002,"2012 a 2020 ","aumento",1550000,224,1250000,2800000
"2477","ESTORIL",9126025,"2012 a 2020 ","aumento",1540000,222.2,1260000,2800000
"2478","VILLA DEL PRADO",9129002,"2012 a 2020 ","aumento",1870000,301.1,930000,2800000
"2479","LAGO DE SUBA",9205040,"2012 a 2020 ","aumento",1800000,460,5e+05,2300000
"2480","LAS MARGARITAS",4637010,"2012 a 2020 ","aumento",1090000,402.8,360000,1450000
"2481","LAS MARGARITAS",4637050,"2012 a 2020 ","aumento",1080000,391.9,370000,1450000
"2482","LAS MARGARITAS",4637098,"2012 a 2020 ","aumento",2780000,761.9,420000,3200000
"2483","SAN BERNARDINO XIX",4638032,"2012 a 2020 ","aumento",1097981,344,450000,1547981
"2484","JOSE JOAQUIN VARGAS",5101023,"2012 a 2020 ","aumento",1550000,263.2,950000,2500000
"2485","JOSE JOAQUIN VARGAS",5101037,"2012 a 2020 ","aumento",1550000,263.2,950000,2500000
"2486","NICOLAS DE FEDERMAN",5106039,"2012 a 2020 ","aumento",2400000,340,1e+06,3400000
"2487","LA ESMERALDA",5111040,"2012 a 2020 ","aumento",2450000,313,1150000,3600000
"2488","DOCE DE OCTUBRE",5202015,"2012 a 2020 ","aumento",2720000,448.7,780000,3500000
"2489","SAN FERNANDO OCCIDENTAL",5204034,"2012 a 2020 ","aumento",1920000,382.4,680000,2600000
"2490","SIMON BOLIVAR",5205011,"2012 a 2020 ","aumento",1800000,427.3,550000,2350000
"2491","METROPOLIS",5207001,"2012 a 2020 ","aumento",1600000,277.8,9e+05,2500000
"2492","LA CASTELLANA",5304043,"2012 a 2020 ","aumento",2080000,326.1,920000,3e+06
"2493","LA PATRIA",5305004,"2012 a 2020 ","aumento",1570000,309.3,750000,2320000
"2494","LA PATRIA",5305015,"2012 a 2020 ","aumento",1570000,309.3,750000,2320000
"2495","LA PATRIA",5305031,"2012 a 2020 ","aumento",936746,224.9,750000,1686746
"2496","LOS ANDES",5307034,"2012 a 2020 ","aumento",1800000,311.8,850000,2650000
"2497","RIONEGRO",5308031,"2012 a 2020 ","aumento",2200000,375,8e+05,3e+06
"2498","LA CONCORDIA",3104011,"2012 a 2020 ","aumento",594000,232,450000,1044000
"2499","CENTRO ADMINISTRATIVO",3106023,"2012 a 2020 ","aumento",1538000,379.6,550000,2088000
"2500","ESCUELA DE INFANTERIA",8410003,"2012 a 2020 ","aumento",10500000,1150,1e+06,11500000
"2501","CIUDAD KENNEDY OCCIDENTAL",4508002,"2012 a 2020 ","aumento",1500000,400,5e+05,2e+06
"2502","CIUDAD KENNEDY ORIENTAL",4510049,"2012 a 2020 ","aumento",1400000,333.3,6e+05,2e+06
"2503","CIUDAD KENNEDY ORIENTAL",4510051,"2012 a 2020 ","aumento",1400000,333.3,6e+05,2e+06
"2504","TIMIZA",4512014,"2012 a 2020 ","aumento",1760000,500,440000,2200000
"2505","CIUDAD KENNEDY NORTE",4514042,"2012 a 2020 ","aumento",1e+06,200,1e+06,2e+06
"2506","CIUDAD KENNEDY NORTE",4514064,"2012 a 2020 ","aumento",1200000,250,8e+05,2e+06
"2507","BOITA",4516065,"2012 a 2020 ","aumento",1520000,416.7,480000,2e+06
"2508","JACQUELINE",4517045,"2012 a 2020 ","aumento",1175000,347.4,475000,1650000
"2509","TIMIZA A",4518026,"2012 a 2020 ","aumento",916000,354.4,360000,1276000
"2510","TIMIZA A",4518053,"2012 a 2020 ","aumento",1680000,423.1,520000,2200000
"2511","ESCOCIA",4519003,"2012 a 2020 ","aumento",1190000,430.6,360000,1550000
"2512","LA PAZ BOSA",4520031,"2012 a 2020 ","aumento",925000,346.7,375000,1300000
"2513","BOSA",4522013,"2012 a 2020 ","aumento",1228500,654.6,221500,1450000
"2514","BOSA",4522017,"2012 a 2020 ","aumento",1100000,414.3,350000,1450000
"2515","SAN PABLO BOSA",4524005,"2012 a 2020 ","aumento",1011000,330.3,439000,1450000
"2516","EL RETAZO",4524056,"2012 a 2020 ","aumento",287491,163.9,450000,737491
"2517","LA BELLEZA",1332099,"2012 a 2020 ","aumento",31368.53,185.9,36500,67868.53
"2518","LAS GUACAMAYAS IV",1353015,"2012 a 2020 ","aumento",866000,533,2e+05,1066000
"2519","LAS GUACAMAYAS III",1354038,"2012 a 2020 ","aumento",856000,507.6,210000,1066000
"2520","VILLA DEL CERRO",1356052,"2012 a 2020 ","aumento",67000,228.8,52000,119000
"2521","SAN JOSE SUR",1401011,"2012 a 2020 ","aumento",1300000,336.4,550000,1850000
"2522","GUSTAVO RESTREPO",1402069,"2012 a 2020 ","aumento",1300000,360,5e+05,1800000
"2523","HOSPITAL SAN CARLOS",1403036,"2012 a 2020 ","aumento",1090000,1090.9,110000,1200000
"2524","VEINTE DE JULIO",1405042,"2012 a 2020 ","aumento",1450000,422.2,450000,1900000
"2525","CHAPINERO CENTRAL",8213034,"2012 a 2020 ","aumento",2250000,215.4,1950000,4200000
"2526","EL REFUGIO",8303018,"2012 a 2020 ","aumento",5311000,6067.4,89000,5400000
"2527","EL REFUGIO",8303027,"2012 a 2020 ","aumento",2800000,207.7,2600000,5400000
"2528","PORCIUNCULA",8306005,"2012 a 2020 ","aumento",2800000,275,1600000,4400000
"2529","EL RETIRO",8310016,"2012 a 2020 ","aumento",3900000,221.9,3200000,7100000
"2530","LAGO GAITAN",8313027,"2012 a 2020 ","aumento",1140000,272.7,660000,1800000
"2531","BELLA SUIZA",8404005,"2012 a 2020 ","aumento",2900000,281.2,1600000,4500000
"2532","USAQUEN",8407013,"2012 a 2020 ","aumento",3400000,236,2500000,5900000
"2533","LA ESTANCIA",2418095,"2012 a 2020 ","aumento",830000,407.4,270000,1100000
"2534","TUNA BAJA",9242059,"2012 a 2020 ","aumento",1250000,457.1,350000,1600000
"2535","VILLA HERMOSA",9244072,"2012 a 2020 ","aumento",1300000,533.3,3e+05,1600000
"2536","PINOS DE LOMBARDIA",9245005,"2012 a 2020 ","aumento",1700000,342.9,7e+05,2400000
"2537","PINOS DE LOMBARDIA",9245026,"2012 a 2020 ","aumento",1700000,342.9,7e+05,2400000
"2538","TIBABUYES OCCIDENTAL",9250043,"2012 a 2020 ","aumento",1190000,430.6,360000,1550000
"2539","BILBAO",9252013,"2012 a 2020 ","aumento",1100000,344.4,450000,1550000
"2540","BILBAO",9252026,"2012 a 2020 ","aumento",15000,103.3,450000,465000
"2541","BILBAO",9252039,"2012 a 2020 ","aumento",1200000,442.9,350000,1550000
"2542","SAN PEDRO",9253035,"2012 a 2020 ","aumento",1140000,416.7,360000,1500000
"2543","TIBABUYES",9257018,"2012 a 2020 ","aumento",1420000,473.7,380000,1800000
"2544","SAN PABLO BOSA",4524058,"2012 a 2020 ","aumento",1200000,400,4e+05,1600000
"2545","NUEVA GRANADA BOSA",4527033,"2012 a 2020 ","aumento",1020000,368.4,380000,1400000
"2546","CEMENTERIO JARDINES APOGEO",4529038,"2012 a 2020 ","aumento",850000,342.9,350000,1200000
"2547","EL CHICO",8308023,"2012 a 2020 ","aumento",2950000,198.3,3e+06,5950000
"2548","RINCON DEL CHICO",8411028,"2012 a 2020 ","aumento",2820000,267.9,1680000,4500000
"2549","MOLINOS NORTE",8416009,"2012 a 2020 ","aumento",2645000,242.6,1855000,4500000
"2550","MOLINOS NORTE",8416043,"2012 a 2020 ","aumento",1436920,198.4,1460000,2896920
"2551","EL TOBERIN",8501023,"2012 a 2020 ","aumento",2e+06,300,1e+06,3e+06
"2552","SAN CRISTOBAL NORTE",8505011,"2012 a 2020 ","aumento",2110000,385.1,740000,2850000
"2553","SAN CRISTOBAL NORTE",8505012,"2012 a 2020 ","aumento",2110000,385.1,740000,2850000
"2554","SAN CRISTOBAL NORTE",8505062,"2012 a 2020 ","aumento",1910000,398.4,640000,2550000
"2555","BARRANCAS NORTE",8506058,"2012 a 2020 ","aumento",1610000,317.6,740000,2350000
"2556","RINCON DE GALICIA",2424040,"2012 a 2020 ","aumento",850000,525,2e+05,1050000
"2557","RINCON DE GALICIA",2424048,"2012 a 2020 ","aumento",850000,525,2e+05,1050000
"2558","PRIMAVERA II",2428022,"2012 a 2020 ","aumento",750000,314.3,350000,1100000
"2559","MARIA CANO",2429028,"2012 a 2020 ","aumento",1050000,520,250000,1300000
"2560","MARIA CANO",2429063,"2012 a 2020 ","aumento",1050000,520,250000,1300000
"2561","LAS BRISAS",2430049,"2012 a 2020 ","aumento",585000,608.7,115000,7e+05
"2562","EL PENON DEL CORTIJO",2433011,"2012 a 2020 ","aumento",1450000,363.6,550000,2e+06
"2563","JERUSALEN",2434014,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"2564","JERUSALEN",2434052,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"2565","JERUSALEN",2434059,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"2566","BELLAVISTA",2436006,"2012 a 2020 ","aumento",885000,869.6,115000,1e+06
"2567","LA PRADERA",2437019,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"2568","CIUDAD HUNZA",9235029,"2012 a 2020 ","aumento",880000,309.5,420000,1300000
"2569","VEREDA SUBA NARANJOS",9249003,"2012 a 2020 ","aumento",75600,200.8,75000,150600
"2570","LAS CRUCES",3202016,"2012 a 2020 ","aumento",6e+05,340,250000,850000
"2571","SANTA BARBARA",3203016,"2012 a 2020 ","aumento",1200000,500,3e+05,1500000
"2572","BARRANCAS NORTE",8506092,"2012 a 2020 ","aumento",1590000,309.2,760000,2350000
"2573","SUMAPAZ",2553018,"2012 a 2020 ","aumento",5e+05,516.7,120000,620000
"2574","LAS VIOLETAS",2633012,"2012 a 2020 ","aumento",93888,270.7,55000,148888
"2575","GUADALUPE",4563021,"2012 a 2020 ","disminuyo",-189623.75,68.4,6e+05,410376.25
"2576","LA CALLEJA",8401053,"2012 a 2020 ","aumento",835655,127.2,3075000,3910655
"2577","CEDRITOS",8512006,"2012 a 2020 ","aumento",1800000,228.6,1400000,3200000
"2578","LAS MARGARITAS",8530007,"2012 a 2020 ","aumento",1350000,208,1250000,2600000
"2579","SANTA RITA DE SUBA",9255090,"2012 a 2019 ","aumento",17593,105.2,340000,357593
"2580","VILLAS DE ALCALA",5668009,"2012 a 2020 ","aumento",1100000,Inf,0,1100000
"2581","VILLAS DE ALCALA",5668015,"2012 a 2020 ","aumento",1100000,Inf,0,1100000
"2582","LECH WALESA",9227067,"2012 a 2020 ","aumento",2300000,Inf,0,2300000
"2583","EL JARDIN",4561060,"2012 a 2020 ","aumento",650000,Inf,0,650000
"2584","GARCES NAVAS",5627090,"2012 a 2020 ","aumento",770000,Inf,0,770000
"2585","CIUDAD SALITRE NOR-ORIENTAL",6216031,"2012 a 2020 ","aumento",1320000,Inf,0,1320000
"2586","LOS LAURELES SUR ORIENTAL I",1118016,"2012 a 2020 ","aumento",116571,Inf,0,116571
"2587","SIBERIA II",201503018,"2012 a 2019 ","se mantuvo",0,NA,0,0
"2588","EL BOSQUE SUR ORIENTAL RURAL III",202309099,"2012 a 2019 ","se mantuvo",0,NA,0,0
"2589","EL JAZMIN",205209047,"2012 a 2019 ","se mantuvo",0,NA,0,0
"2590","LAS ACACIAS RURAL",205225016,"2012 a 2019 ","se mantuvo",0,NA,0,0
"2591","SAN LUIS ALTOS DEL CABO RURAL II",208125059,"2012 a 2019 ","se mantuvo",0,NA,0,0
"2592","EL PENON DEL CORTIJO",2433051,"2012 a 2020 ","aumento",640000,900,80000,720000
"2593","JULIO FLOREZ",5403034,"2012 a 2020 ","aumento",1520000,290,8e+05,2320000
"2594","JULIO FLOREZ",5403042,"2012 a 2020 ","aumento",1800000,250,1200000,3e+06
"2595","JULIO FLOREZ",5403056,"2012 a 2020 ","aumento",1750000,240,1250000,3e+06
"2596","LA ESTRADA",5502010,"2012 a 2020 ","aumento",1990000,431.7,6e+05,2590000
"2597","LA ESPERANZA SUR",2607060,"2012 a 2020 ","aumento",320000,300,160000,480000
"2598","LA ALAMEDA",3101013,"2012 a 2020 ","aumento",2978000,670.5,522000,3500000
"2599","EL RETAZO",4524098,"2012 a 2020 ","aumento",1200000,400,4e+05,1600000
"2600","MANDALAY",4531017,"2012 a 2020 ","aumento",1400000,227.3,1100000,2500000
"2601","EL RETAZO",4533060,"2012 a 2020 ","aumento",1050000,400,350000,1400000
"2602","LA ESTRADA",5502027,"2012 a 2020 ","aumento",1990000,431.7,6e+05,2590000
"2603","LA ESTRADA",5502031,"2012 a 2020 ","aumento",1940000,398.5,650000,2590000
"2604","LA ESTRADA",5502071,"2012 a 2020 ","aumento",1990000,431.7,6e+05,2590000
"2605","LA ESTRADA",5502076,"2012 a 2020 ","aumento",1720000,297.7,870000,2590000
"2606","NORMANDIA",5507015,"2012 a 2020 ","aumento",1750000,305.9,850000,2600000
"2607","SANTA MARIA",5602034,"2012 a 2020 ","aumento",1940000,355.3,760000,2700000
"2608","BOYACA",5603062,"2012 a 2020 ","aumento",1960000,406.2,640000,2600000
"2609","EL ENCANTO",5605027,"2012 a 2020 ","aumento",1850000,346.7,750000,2600000
"2610","EL ENCANTO",5605035,"2012 a 2020 ","aumento",1935000,352.9,765000,2700000
"2611","NORMANDIA OCCIDENTAL",5606037,"2012 a 2020 ","aumento",1680000,282.6,920000,2600000
"2612","SANTA HELENITA",5608030,"2012 a 2020 ","aumento",1860000,351.4,740000,2600000
"2613","SANTA BARBARA OCCIDENTAL",8417039,"2012 a 2020 ","aumento",2650000,243.2,1850000,4500000
"2614","EL DORADO",3209034,"2012 a 2020 ","aumento",73438.55,173.4,1e+05,173438.55
"2615","SAN FRANCISCO",2515051,"2012 a 2020 ","aumento",720000,357.1,280000,1e+06
"2616","RONDA",2518039,"2012 a 2020 ","aumento",846000,1666.7,54000,9e+05
"2617","RONDA",2518046,"2012 a 2020 ","aumento",846000,1666.7,54000,9e+05
"2618","LUCERO ALTO",2521016,"2012 a 2020 ","aumento",3e+05,276.5,170000,470000
