"","barrio_nombre","codigo_manzana","anos","cambio_relativo","diferencia","porc","val1","val2"
"68","PUERTA DEL SOL",9203083,"2012 a 2020 ","aumento",1575000,400,525000,2100000
"69","EL RINCON NORTE",9204024,"2012 a 2020 ","aumento",1540000,434.8,460000,2e+06
"70","COSTA AZUL",9208019,"2012 a 2020 ","aumento",1775000,384,625000,2400000
"71","COSTA AZUL",9208056,"2012 a 2020 ","aumento",1850000,384.6,650000,2500000
"72","VILLA MARIA",9209062,"2012 a 2020 ","aumento",1930000,510.6,470000,2400000
"73","EL POA",9211016,"2012 a 2020 ","aumento",536000,350.5,214000,750000
"74","TUNA ALTA",9214023,"2012 a 2020 ","aumento",880000,309.5,420000,1300000
"75","TUNA RURAL",9217046,"2012 a 2020 ","aumento",1700000,342.9,7e+05,2400000
"76","TTES DE COLOMBIA",9223068,"2012 a 2020 ","aumento",155000,129,535000,690000
"77","TIBABUYES UNIVERSAL",9225008,"2012 a 2020 ","aumento",1605000,330.9,695000,2300000
"78","TIBABUYES UNIVERSAL",9225057,"2012 a 2020 ","aumento",1890000,333.3,810000,2700000
"79","LECH WALESA",9227068,"2012 a 2020 ","aumento",930852,410.3,3e+05,1230852
"80","LOMBARDIA",9228029,"2012 a 2020 ","aumento",1850000,384.6,650000,2500000
"81","SUCRE",8112014,"2012 a 2020 ","aumento",3600000,357.1,1400000,5e+06
"82","SUCRE",8112024,"2012 a 2020 ","aumento",930000,321.4,420000,1350000
"83","CARACOLI",2445004,"2012 a 2020 ","aumento",320000,500,80000,4e+05
"84","CARACOLI",2445066,"2012 a 2020 ","aumento",496000,1018.5,54000,550000
"85","PRADO VERANIEGO NORTE",9116058,"2012 a 2020 ","aumento",1560000,273.3,9e+05,2460000
"86","LA CORUNA",2420037,"2012 a 2020 ","aumento",160000,132,5e+05,660000
"87","EL MOCHUELO III",2585002,"2012 a 2020 ","aumento",220000,833.3,30000,250000
"88","LOS CEREZOS",5616026,"2012 a 2020 ","aumento",1970000,412.7,630000,2600000
"89","CLUB DE LOS LAGARTOS",9121036,"2012 a 2020 ","aumento",369000,259.7,231000,6e+05
"90","GARCES NAVAS ORIENTAL",5628044,"2012 a 2020 ","aumento",1740000,323.1,780000,2520000
"91","PROVIVIENDA OCCIDENTAL",4505027,"2012 a 2020 ","aumento",1500000,400,5e+05,2e+06
"92","PROVIVIENDA OCCIDENTAL",4505031,"2012 a 2020 ","aumento",1760000,425.9,540000,2300000
"93","CASABLANCA SUBA URBANO",9136019,"2012 a 2020 ","aumento",3e+05,250,2e+05,5e+05
"94","TTES DE COLOMBIA",9223087,"2012 a 2020 ","aumento",1870000,534.9,430000,2300000
"95","EL DORADO",5664001,"2012 a 2020 ","disminuyo",-31499.4,80.7,163000,131500.6
"96","SIERRA MORENA",2438052,"2012 a 2020 ","aumento",90000,142.9,210000,3e+05
"97","VILLAS DE ALCALA",5668027,"2012 a 2020 ","aumento",1100000,Inf,0,1100000
"98","LAS MARGARITAS",4316019,"2012 a 2020 ","aumento",136098,Inf,0,136098
"99","TIMIZA",4512072,"2012 a 2020 ","aumento",2400000,Inf,0,2400000
"100","SAN JOSE DE FONTIBON",6403076,"2012 a 2020 ","aumento",1650000,Inf,0,1650000
"101","SAN CAYETANO",9230059,"2012 a 2020 ","aumento",1700000,Inf,0,1700000
"102","BOLONIA I",2626040,"2012 a 2020 ","aumento",7e+05,Inf,0,7e+05
"103","CIUDAD SALITRE NOR-ORIENTAL",6216038,"2012 a 2020 ","aumento",1320000,Inf,0,1320000
"104","AGUAS CLARAS I",1119079,"2012 a 2020 ","aumento",2e+05,Inf,0,2e+05
"105","EL BOSQUE SUR ORIENTAL RURAL III",202309043,"2012 a 2019 ","se mantuvo",0,NA,0,0
"106","EL BOSQUE SUR ORIENTAL RURAL III",202309065,"2012 a 2019 ","se mantuvo",0,NA,0,0
"107","SAN BERNARDINO XIX",205319002,"2012 a 2019 ","se mantuvo",0,NA,0,0
"108","PARAMO URBANO",208104018,"2012 a 2019 ","se mantuvo",0,NA,0,0
"109","LA ESPERANZA",208107003,"2012 a 2019 ","se mantuvo",0,NA,0,0
"110","TORCA II",208128007,"2012 a 2019 ","se mantuvo",0,NA,0,0
"111","TORCA II",208128004,"2012 a 2019 ","se mantuvo",0,NA,0,0
"112","CENTRO USME URBANO",202601043,"2012 a 2019 ","se mantuvo",0,NA,0,0
"113","NUEVA ESPERANZA",204106073,"2012 a 2018 ","se mantuvo",0,NA,0,0
"114","SAN BLAS",1106007,"2012 a 2020 ","aumento",680000,312.5,320000,1e+06
"115","LAS MERCEDES",1107020,"2012 a 2020 ","aumento",680000,351.9,270000,950000
"116","LAS MERCEDES",1107022,"2012 a 2020 ","aumento",680000,351.9,270000,950000
"117","LAS MERCEDES",1107033,"2012 a 2020 ","aumento",680000,351.9,270000,950000
"118","SAN CRISTOBAL SUR",1108065,"2012 a 2020 ","aumento",341000,262.4,210000,551000
"119","LA MARIA",1109020,"2012 a 2020 ","aumento",880000,279.6,490000,1370000
"120","LA BELLEZA",1338005,"2012 a 2020 ","aumento",67000,228.8,52000,119000
"121","JUAN REY SUR",1347006,"2012 a 2020 ","aumento",240000,400,80000,320000
"122","YOMASA",1347010,"2012 a 2020 ","aumento",240000,400,80000,320000
"123","LAS GUACAMAYAS III",1354045,"2012 a 2020 ","aumento",856000,507.6,210000,1066000
"124","LAS GUACAMAYAS I",1355052,"2012 a 2020 ","aumento",856000,507.6,210000,1066000
"125","LAS GUACAMAYAS I",1355057,"2012 a 2020 ","aumento",856000,507.6,210000,1066000
"126","LAS GUACAMAYAS I",1355064,"2012 a 2020 ","aumento",206640,227.6,162000,368640
"127","VILLA DEL CERRO",1356076,"2012 a 2020 ","aumento",230000,162.2,370000,6e+05
"128","SAN JOSE SUR",1401013,"2012 a 2020 ","aumento",1330000,383,470000,1800000
"129","SAN JOSE SUR",1401038,"2012 a 2020 ","aumento",1300000,360,5e+05,1800000
"130","SAN JOSE SUR",1401048,"2012 a 2020 ","aumento",1300000,360,5e+05,1800000
"131","GUSTAVO RESTREPO",1402085,"2012 a 2020 ","aumento",390000,360,150000,540000
"132","VILLA DE LOS ALPES",1408030,"2012 a 2020 ","aumento",1650000,353.8,650000,2300000
"133","LAS LOMAS",1409083,"2012 a 2020 ","aumento",930000,390.6,320000,1250000
"134","MARCO FIDEL SUAREZ",1410002,"2012 a 2020 ","aumento",1345000,478.9,355000,1700000
"135","SAN JORGE SUR",1411010,"2012 a 2020 ","aumento",1080000,391.9,370000,1450000
"136","GRANJAS SAN PABLO",1412043,"2012 a 2020 ","aumento",820000,555.6,180000,1e+06
"137","GALICIA",2427002,"2012 a 2020 ","aumento",1700000,383.3,6e+05,2300000
"138","GALICIA",2427012,"2012 a 2020 ","aumento",1700000,383.3,6e+05,2300000
"139","PRIMAVERA II",2428039,"2012 a 2020 ","aumento",750000,314.3,350000,1100000
"140","LAS BRISAS",2430005,"2012 a 2020 ","aumento",885000,869.6,115000,1e+06
"141","LAS BRISAS",2430073,"2012 a 2020 ","aumento",885000,869.6,115000,1e+06
"142","LAS BRISAS",2430086,"2012 a 2020 ","aumento",585000,608.7,115000,7e+05
"143","LA GLORIA OCCIDENTAL",1311010,"2012 a 2020 ","aumento",590000,381,210000,8e+05
"144","LA GLORIA OCCIDENTAL",1311023,"2012 a 2020 ","aumento",590000,381,210000,8e+05
"145","LOS ALPES",1312007,"2012 a 2020 ","aumento",4e+05,300,2e+05,6e+05
"146","SAN JOSE SUR ORIENTAL",1314019,"2012 a 2020 ","aumento",850000,440,250000,1100000
"147","ALTAMIRA",1315028,"2012 a 2020 ","aumento",370000,260.9,230000,6e+05
"148","ALTAMIRA",1315054,"2012 a 2020 ","aumento",370000,260.9,230000,6e+05
"149","LOMBARDIA",9228063,"2012 a 2020 ","aumento",1850000,384.6,650000,2500000
"150","SAN CAYETANO",9230015,"2012 a 2020 ","aumento",1230000,361.7,470000,1700000
"151","SAN CAYETANO",9230094,"2012 a 2020 ","aumento",1250000,377.8,450000,1700000
"152","SABANA DE TIBABUYES",9232007,"2012 a 2020 ","aumento",1744000,365.9,656000,2400000
"153","SABANA DE TIBABUYES",9232063,"2012 a 2020 ","aumento",1870000,375,680000,2550000
"154","SABANA DE TIBABUYES",9232072,"2012 a 2020 ","aumento",1720000,352.9,680000,2400000
"155","SABANA DE TIBABUYES NORTE",9232080,"2012 a 2020 ","aumento",1740000,363.6,660000,2400000
"156","TIBABUYES",9233074,"2012 a 2020 ","aumento",2150000,490.9,550000,2700000
"157","SABANA DE TIBABUYES NORTE",9234038,"2012 a 2020 ","aumento",990455.49,362,378000,1368455.49
"158","SABANA DE TIBABUYES NORTE",9234084,"2012 a 2020 ","aumento",1750000,369.2,650000,2400000
"159","LA CAROLINA DE SUBA",9236081,"2012 a 2020 ","aumento",1200000,400,4e+05,1600000
"160","TUNA BAJA",9242001,"2012 a 2020 ","aumento",1510000,487.2,390000,1900000
"161","TUNA BAJA",9242063,"2012 a 2020 ","aumento",1250000,457.1,350000,1600000
"162","SAN PEDRO",9253045,"2012 a 2020 ","aumento",1150000,428.6,350000,1500000
"163","LISBOA",9254026,"2012 a 2020 ","aumento",1500000,475,4e+05,1900000
"164","LISBOA",9254093,"2012 a 2020 ","aumento",1140000,416.7,360000,1500000
"165","SANTA RITA DE SUBA",9255001,"2012 a 2020 ","aumento",1160000,441.2,340000,1500000
"166","LISBOA",9256092,"2012 a 2020 ","aumento",1170000,454.5,330000,1500000
"167","TIBABUYES",9257015,"2012 a 2020 ","aumento",1420000,473.7,380000,1800000
"168","TIBABUYES",9257055,"2012 a 2020 ","aumento",1440000,500,360000,1800000
"169","BERLIN",9259012,"2012 a 2020 ","aumento",1165000,447.8,335000,1500000
"170","VILLA ALCAZAR",9263029,"2012 a 2020 ","aumento",950000,371.4,350000,1300000
"171","VILLA ALCAZAR",9263065,"2012 a 2020 ","aumento",920000,342.1,380000,1300000
"172","VILLA ALCAZAR",9263083,"2012 a 2020 ","aumento",950000,371.4,350000,1300000
"173","SAN PEDRO SUR",1337037,"2012 a 2020 ","aumento",100942,283.5,55000,155942
"174","SANTA CECILIA PUENTE NORTE",8543037,"2012 a 2020 ","aumento",64600,196.4,67000,131600
"175","BOSQUE DE PINOS",8520051,"2012 a 2020 ","aumento",883000,1417.9,67000,950000
"176","LA ESTRELLITA I",8540020,"2012 a 2020 ","aumento",603000,1000,67000,670000
"177","TIBABITA",8521030,"2012 a 2020 ","aumento",914000,243.7,636000,1550000
"178","CALVO SUR",1210003,"2012 a 2020 ","aumento",1210000,346.9,490000,1700000
"179","CENTRO USME URBANO",2599063,"2012 a 2020 ","aumento",660000,512.5,160000,820000
"180","PARCELA EL PORVENIR",4643004,"2012 a 2020 ","aumento",165000,155,3e+05,465000
"181","JULIO FLOREZ",5403074,"2012 a 2020 ","disminuyo",-237784,52.9,505000,267216
"182","ESCUELA DE CARABINEROS",9128016,"2012 a 2020 ","aumento",1845000,226.8,1455000,3300000
"183","BRITALIA",9102008,"2012 a 2020 ","aumento",1860000,410,6e+05,2460000
"184","USAQUEN",8407002,"2012 a 2020 ","aumento",3700000,194.9,3900000,7600000
"185","ALTOS DEL ZUQUE",1331092,"2012 a 2020 ","aumento",73400,220.3,61000,134400
"186","CIUDADELA COLSUBSIDIO",5650029,"2012 a 2020 ","aumento",1600000,277.8,9e+05,2500000
"187","ARBOLEDA SUR",1429086,"2012 a 2020 ","aumento",1101000,653.3,199000,1300000
"188","NUEVO TECHO",6507011,"2012 a 2020 ","aumento",1830000,337.7,770000,2600000
"189","BOSQUE DE PINOS III RURAL",8538084,"2012 a 2020 ","aumento",970000,1312.5,80000,1050000
"190","PARDO RUBIO",8208017,"2012 a 2020 ","aumento",2550000,368.4,950000,3500000
"191","ALTOS DE CHOZICA",9222019,"2012 a 2020 ","aumento",3e+05,160,5e+05,8e+05
"192","ENGATIVA ZONA URBANA",5636017,"2012 a 2020 ","aumento",1260000,380,450000,1710000
"193","JUAN REY SUR",1347069,"2012 a 2020 ","aumento",240000,400,80000,320000
"194","RESTREPO",2103020,"2012 a 2020 ","aumento",504000,304.9,246000,750000
"195","RESTREPO OCCIDENTAL",2104011,"2012 a 2020 ","aumento",945000,362.5,360000,1305000
"196","RESTREPO OCCIDENTAL",2104036,"2012 a 2020 ","aumento",495000,375,180000,675000
"197","QUIROGA",2202052,"2012 a 2020 ","aumento",1550000,542.9,350000,1900000
"198","QUIROGA SUR",2204011,"2012 a 2020 ","aumento",1750000,600,350000,2100000
"199","QUIROGA SUR",2204026,"2012 a 2020 ","aumento",1750000,600,350000,2100000
"200","SANTA LUCIA",2205040,"2012 a 2020 ","aumento",1430000,486.5,370000,1800000
"201","QUIROGA I",2209012,"2012 a 2020 ","aumento",1540000,527.8,360000,1900000
"202","QUIROGA I",2209023,"2012 a 2020 ","aumento",1720000,552.6,380000,2100000
"203","QUIROGA I",2209087,"2012 a 2020 ","aumento",521000,578,109000,630000
"204","CENTENARIO",2303005,"2012 a 2020 ","aumento",1150000,387.5,4e+05,1550000
"205","CENTENARIO",2303040,"2012 a 2020 ","aumento",1150000,387.5,4e+05,1550000
"206","INGLES",2307006,"2012 a 2020 ","aumento",1200000,442.9,350000,1550000
"207","VILLA MAYOR ORIENTAL",2309001,"2012 a 2020 ","aumento",1225000,168.1,1800000,3025000
"208","VILLA MAYOR ORIENTAL",2309004,"2012 a 2020 ","aumento",1825000,335.5,775000,2600000
"209","VILLA MAYOR ORIENTAL",2309033,"2012 a 2020 ","aumento",1820000,333.3,780000,2600000
