;barrio_nombre;codigo_barrio;anos;cambio_relativo;diferencia
134;BOSQUE DE PINOS III RURAL;108113;12a20;aumento;1581899
135;PARDO RUBIO;8208;12a20;aumento;2269202
136;ALTOS DE CHOZICA;9222;12a20;aumento;801907
137;ENGATIVA ZONA URBANA;5636;12a20;aumento;1186168
138;RESTREPO;2103;12a20;aumento;1736469
139;RESTREPO OCCIDENTAL;2104;12a20;aumento;1827825
140;QUIROGA;2202;12a20;aumento;1466744
141;QUIROGA SUR;2204;12a20;aumento;1367469
142;SANTA LUCIA;2205;12a20;aumento;1183859
143;QUIROGA I;2209;12a20;aumento;1381068
144;CENTENARIO;2303;12a20;aumento;1150569
145;INGLES;2307;12a20;aumento;1191321
146;VILLA MAYOR ORIENTAL;2309;12a20;aumento;1350389
147;VILLA MAYOR;2311;12a20;aumento;1683217
148;TUNAL ORIENTAL;2401;12a20;aumento;1489341
149;SAN VICENTE FERRER;2402;12a20;aumento;1421337
150;VENECIA OCCIDENTAL;2403;12a20;aumento;1508201
151;VENECIA;2404;12a20;aumento;2106594
152;FATIMA;2408;12a20;aumento;1405474
153;NUEVO MUZU;2409;12a20;aumento;1426877
154;VERONA;2412;12a20;aumento;1088855
155;ISMAEL PERDOMO;2414;12a20;aumento;327094
156;MADELENA;2415;12a20;aumento;1932020
157;MORALBA;1316;12a20;aumento;234484
158;QUINDIO;1318;12a20;aumento;61339
159;LA GLORIA ORIENTAL;1319;12a20;aumento;307267
160;NUEVA GLORIA;1320;12a20;aumento;346300
161;NUEVA DELHI;1323;12a20;aumento;419874
162;LOS LIBERTADORES;1327;12a20;aumento;412100
163;EL PINAR;1324;12a20;aumento;413956
164;SANTA RITA SUR ORIENTAL;1328;12a20;aumento;531298
165;EL PARAISO;1329;12a20;aumento;551316
166;CANADA O GUIRA;1330;12a20;aumento;494937
167;VILLABEL;1332;12a20;aumento;232821
168;LAS GAVIOTAS;1334;12a20;aumento;432941
169;JUAN JOSE RONDON I;1336;12a20;aumento;166354
170;BOCHICA;4211;12a20;aumento;1774086
171;TIBANA;4212;12a20;aumento;1601818
172;GALAN;4304;12a20;aumento;1755137
173;LA CAMELIA;4309;12a20;aumento;1755576
174;SAN EUSEBIO;4401;12a20;aumento;1880295
175;AUTOPISTA MUZU;4403;12a20;aumento;1289169
176;AUTOPISTA SUR;4404;12a20;aumento;1224287
177;OSPINA PEREZ SUR;4405;12a20;aumento;1866489
178;ALCALA;4407;12a20;aumento;1319884
179;REMANSO SUR;4412;12a20;aumento;1841753
180;HIPOTECHO;4501;12a20;aumento;1056558
181;EL MIRADOR DE LA ESTANCIA;2447;12a20;aumento;101283
182;ESPINO I;2449;12a20;aumento;104652
183;PERDOMO ALTO;2450;12a20;aumento;1018500
184;QUIBA I;2456;12a20;aumento;423661
185;ARBORIZADORA ALTA I;2460;12a20;aumento;651222
186;ARBORIZADORA ALTA  II;2461;12a20;aumento;689924
187;SAN CARLOS;2501;12a20;aumento;821659
188;LA AURORA;2503;12a20;aumento;634722
189;NUEVO SAN ANDRES;2505;12a20;aumento;682323
190;GRAN YOMASA;2506;12a20;aumento;623447
191;ABRAHAM LINCOLN;2507;12a20;aumento;708334
192;ARBORIZADORA BAJA;2432;12a20;aumento;1437010
193;EL PENON DEL CORTIJO;2433;12a20;aumento;1069401
194;JERUSALEN;2434;12a20;aumento;876212
195;BELLAVISTA;2436;12a20;aumento;845136
196;LA PRADERA;2437;12a20;aumento;859032
197;SIERRA MORENA;2439;12a20;aumento;500610
198;LOS TRES REYES I;2441;12a20;aumento;265640
199;SANTA VIVIANA;2442;12a20;aumento;225025
200;LA RESURRECCION;1413;12a20;aumento;760155
201;MOLINOS DEL SUR;1414;12a20;aumento;1112779
202;MARCO FIDEL SUAREZ I;1415;12a20;aumento;1159786
203;SAN AGUSTIN;1416;12a20;aumento;909775
204;LOS MOLINOS;1417;12a20;aumento;770632
205;MARRUECOS;1418;12a20;aumento;976585
206;CALLEJON SANTA BARBARA;1419;12a20;aumento;1025990
207;EL PLAYON;1420;12a20;aumento;768910
208;DIANA TURBAY ARRAYANES;1422;12a20;aumento;1004433
209;BARCELONA SUR;1424;12a20;aumento;866111
210;GRANJAS DE SANTA SOFIA;1425;12a20;aumento;913761
211;SAN LUIS;1426;12a20;aumento;871067
212;CERROS DE ORIENTE;1428;12a20;aumento;699548
213;VILLA DE LOS ALPES I;1430;12a20;aumento;1372184
214;LA CAPUCHINA;3108;12a20;aumento;4489920
215;LA CATEDRAL;3110;12a20;aumento;2311471
216;SAN BERNARDO;3201;12a20;aumento;607070
217;PORVENIR;2589;12a20;aumento;442031
218;JUAN PABLO II;2552;12a20;aumento;388632
219;LA TORRE;2581;12a20;aumento;308333
220;RAMIREZ;3210;12a20;aumento;501487
221;GIRARDOT;3211;12a20;aumento;358304
222;LA SABANA;4102;12a20;aumento;1835667
223;LA ESTANZUELA;4104;12a20;aumento;1674891
224;EDUARDO SANTOS;4105;12a20;aumento;1463781
225;SANTA ISABEL;4108;12a20;aumento;1527076
226;EL PROGRESO;4111;12a20;aumento;1493700
227;LA ASUNCION;4203;12a20;aumento;1773523
228;MONTES;4204;12a20;aumento;1636600
229;PRIMAVERA OCCIDENTAL;4205;12a20;aumento;1703875
230;JORGE GAITAN CORTES;4210;12a20;aumento;1692115
231;CIUDAD KENNEDY CENTRAL;4511;12a20;aumento;1426383
232;CIUDAD KENNEDY NORTE;4514;12a20;aumento;1086467
233;BOITA;4516;12a20;aumento;1416878
234;SAN PABLO BOSA;4524;12a20;aumento;1195351
235;PASTRANA;4525;12a20;aumento;1465731
236;BOSA NOVA;4526;12a20;aumento;1128505
237;NUEVA GRANADA BOSA;4527;12a20;aumento;1055578
238;PASO ANCHO;4528;12a20;aumento;945542
239;LA CECILIA;4532;12a20;aumento;1564858
240;EL RETAZO;4533;12a20;aumento;1013639
241;GALAN;4627;12a20;aumento;884110
242;EL CORZO;4631;12a20;aumento;1112686
243;SANTA FE BOSA;4633;12a20;aumento;1263279
244;ISLANDIA;4642;12a20;aumento;907820
245;JOSE JOAQUIN VARGAS;5101;12a20;aumento;1468913
246;CAMPIN OCCIDENTAL;5105;12a20;aumento;2396000
247;ACEVEDO TEJADA;5107;12a20;aumento;1841867
248;CIUDAD UNIVERSITARIA;5108;12a20;aumento;176000
249;EL SALITRE;5110;12a20;aumento;1898082
250;JORGE ELIECER GAITAN;5201;12a20;aumento;1994159
251;SAN FERNANDO;5203;12a20;aumento;1736436
252;ROMA;4534;12a20;aumento;1451822
253;CLASS;4535;12a20;aumento;1072087
254;OLARTE;4538;12a20;aumento;1583598
255;GRAN COLOMBIANO;4539;12a20;aumento;945479
256;LOS LAURELES;4575;12a20;aumento;1058152
257;CATALINA II;4540;12a20;aumento;1305276
258;ALQUERIA LA FRAGUA NORTE;4542;12a20;aumento;1192744
259;LA PAZ;2566;12a20;aumento;353000
260;LA PICOTA ORIENTAL;2510;12a20;aumento;416904
261;LA PICOTA;2511;12a20;aumento;376949
262;LAS ACACIAS;2513;12a20;aumento;940258
263;MEXICO;2516;12a20;aumento;548166
264;LUCERO DEL SUR;2517;12a20;aumento;723253
265;LAS MANAS;2520;12a20;aumento;585037
266;LUCERO ALTO;2521;12a20;aumento;355728
267;LA ANDREA;2524;12a20;aumento;675660
268;BARRANQUILLITA;2525;12a20;aumento;408176
269;SANTA LIBRADA;2526;12a20;aumento;706969
270;LA CABANA;2527;12a20;aumento;469251
271;LA MARICHUELA;2529;12a20;aumento;885260
272;QUINTAS DEL SUR;2532;12a20;aumento;708886
273;CASA DE TEJA;2534;12a20;aumento;376291
274;MONTEBLANCO;2536;12a20;aumento;506194
275;CHUNIZA;2537;12a20;aumento;682590
276;USMINIA;2538;12a20;aumento;334214
277;SAN RAFAEL;2539;12a20;aumento;435773
278;ESTRELLA DEL SUR;2540;12a20;aumento;390368
279;GRANADA SUR;2541;12a20;aumento;816372
280;SERRANIAS;2542;12a20;aumento;318776
281;COMUNEROS;2543;12a20;aumento;590076
282;LOS LAURELES II;2544;12a20;aumento;882094
283;EL VIRREY;2548;12a20;aumento;572341
284;GIBRALTAR SUR;2554;12a20;aumento;595648
285;BELLAVISTA LUCERO ALTO;2560;12a20;aumento;430703
286;CORDILLERA DEL SUR;2561;12a20;aumento;164170
287;EL PEDREGAL;2563;12a20;aumento;55861
288;PARAISO QUIBA;2565;12a20;aumento;397598
289;ARBORIZADORA ALTA;2568;12a20;aumento;584743
290;ARBORIZADORA ALTA;2569;12a20;aumento;791849
291;EL MIRADOR;2570;12a20;aumento;426373
292;SALAZAR USME;2572;12a20;aumento;392517
293;CEDRITOS DEL SUR;2574;12a20;aumento;456010
294;LA FISCALA NORTE;2597;12a20;aumento;374397
295;ARABIA;2578;12a20;aumento;304025
296;BELLA FLOR;2580;12a20;aumento;282680
297;VILLA ISRAEL;2594;12a20;aumento;375665
298;ARRAYANES V;2625;12a20;aumento;161091
299;LA ESPERANZA SUR;2607;12a20;aumento;282675
300;EL PROGRESO USME;2613;12a20;aumento;522004
301;LA ORQUIDEA DE USME;2614;12a20;aumento;345769
302;EL NUEVO PORTAL;2616;12a20;aumento;477256
303;EL REFUGIO I;2617;12a20;aumento;322267
304;PUERTA AL LLANO DE USME;2618;12a20;aumento;518570
305;SAN FELIPE DE USME;2621;12a20;aumento;258813
306;EL NEVADO;2631;12a20;aumento;314606
307;LA ALAMEDA;3101;12a20;aumento;1778037
308;LA CONCORDIA;3104;12a20;aumento;1018781
309;CENTRO ADMINISTRATIVO;3106;12a20;aumento;1567471
310;SANTA INES;3107;12a20;aumento;3957523
311;SAN BERNARDINO I;4597;12a20;aumento;825507
312;VILLA ANNY II;4599;12a20;aumento;1100000
313;CALANDAIMA;4601;12a20;aumento;1389480
314;BRASILIA;4604;12a20;aumento;1297221
315;EL JAZMIN;4611;12a20;aumento;832168
316;DINDALITO;4612;12a20;aumento;1394490
317;DINDALITO;4614;12a20;aumento;1216977
318;CHUCUA DE LA VACA II;4620;12a20;aumento;1056790
319;CHUCUA DE LA VACA I;4621;12a20;aumento;1019930
320;SAN BERNARDINO POTRERITOS;4623;12a20;aumento;849100
321;EL REMANSO I;4625;12a20;aumento;896711
322;LAS ACACIAS;4626;12a20;aumento;568190
323;HIPOTECHO OCCIDENTAL;4502;12a20;aumento;1567678
324;PROVIVIENDA ORIENTAL;4503;12a20;aumento;1683732
325;PROVIVIENDA;4504;12a20;aumento;1759190
326;LA CAMPINA;4506;12a20;aumento;1639626
327;CIUDAD KENNEDY SUR;4507;12a20;aumento;1230566
328;CIUDAD KENNEDY;4509;12a20;aumento;1328469
329;CIUDAD KENNEDY ORIENTAL;4510;12a20;aumento;1453581
330;GALERIAS;7207;12a20;aumento;1625741
331;ALFONSO LOPEZ;7209;12a20;aumento;1742371
332;CONCEPCION NORTE;7304;12a20;aumento;2021579
333;BAQUERO;7306;12a20;aumento;1557546
334;BENJAMIN HERRERA;7309;12a20;aumento;1705057
335;POLO CLUB;7401;12a20;aumento;1664013
336;JUAN XXIII;7402;12a20;aumento;2238478
337;SANTA SOFIA;7406;12a20;aumento;2041833
338;LA AURORA;7407;12a20;aumento;2031769
339;SAMPER;8108;12a20;aumento;2547000
340;SAN MARTIN;8109;12a20;aumento;1808333
341;SAN FERNANDO OCCIDENTAL;5204;12a20;aumento;1829536
342;LA LIBERTAD;5206;12a20;aumento;1752355
343;LA CASTELLANA;5304;12a20;aumento;2508422
344;POPULAR MODELO;5102;12a20;aumento;1625708
345;ENTRERIOS;5306;12a20;aumento;1809216
346;POTOSI;5401;12a20;aumento;1266733
347;SANTA ROSA;5402;12a20;aumento;1578277
348;BONANZA;5406;12a20;aumento;2301283
349;LA ESTRADA;5502;12a20;aumento;2082750
350;BELLAVISTA OCCIDENTAL;5503;12a20;aumento;1962041
351;BOSQUE POPULAR;5505;12a20;aumento;1965444
352;LA CABANA;5508;12a20;aumento;1903889
353;EL MINUTO DE DIOS;5601;12a20;aumento;1687969
354;BOYACA;5603;12a20;aumento;1982533
355;EL REAL;5604;12a20;aumento;2053200
356;EL ENCANTO;5605;12a20;aumento;1806785
357;NORMANDIA OCCIDENTAL;5606;12a20;aumento;1646524
358;SANTA HELENITA;5608;12a20;aumento;1831204
359;TABORA;5609;12a20;aumento;1896000
360;LA GRANJA;5610;12a20;aumento;1781783
361;AUTOPISTA MEDELLIN;5611;12a20;aumento;1466606
362;PARIS GAITAN;5612;12a20;aumento;1612977
363;LA SERENA;5613;12a20;aumento;1378447
364;VILLA LUZ;5614;12a20;aumento;1858220
365;LA SOLEDAD NORTE;5615;12a20;aumento;1835353
366;OSPINA PEREZ;4406;12a20;aumento;1243897
367;LAS DELICIAS;4544;12a20;aumento;1062900
368;CATALINA;4545;12a20;aumento;1501612
369;VILLA DEL RIO;4546;12a20;aumento;1335006
370;TECHO;4548;12a20;aumento;1300000
371;JOSE MARIA CARBONEL;4550;12a20;aumento;997333
372;HIPOTECHO SUR;4551;12a20;aumento;1779705
373;GUALOCHE;4552;12a20;aumento;1100427
374;ANDALUCIA II;4553;12a20;aumento;1091147
375;PATIO BONITO II;4555;12a20;aumento;1439172
376;GRAN BRITALIA I;4556;12a20;aumento;1327455
377;GRAN BRITALIA;4557;12a20;aumento;1310085
378;CAMPO HERMOSO;4558;12a20;aumento;1279734
379;EL CARMELO;4559;12a20;aumento;1430791
380;LLANO GRANDE;4562;12a20;aumento;1079143
381;JOSE ANTONIO GALAN;4569;12a20;aumento;1222533
382;ANTONIA SANTOS;4570;12a20;aumento;1065064
383;CASA BLANCA SUR;4576;12a20;aumento;1449889
384;ESCOCIA;4579;12a20;aumento;1216861
385;TIMIZA C;4581;12a20;aumento;1399818
386;JIMENEZ DE QUESADA II SECTOR;4586;12a20;aumento;1087432
387;LOS SAUCES;4587;12a20;aumento;833343
388;LA LIBERTAD;4593;12a20;aumento;1239318
389;SAN ANTONIO;4594;12a20;aumento;1192385
390;CHICO SUR;4595;12a20;aumento;1182169
391;SANTA TERESITA;7102;12a20;aumento;1713754
392;LAS AMERICAS;7107;12a20;aumento;1596462
393;CHAPINERO OCCIDENTAL;7203;12a20;aumento;1934550
394;QUESADA;7204;12a20;aumento;1964762
395;EL VERVENAL;8526;12a20;aumento;1419828
396;PARIS;5619;12a20;aumento;1631855
397;BOLIVIA;5622;12a20;aumento;1613324
398;LOS ANGELES;5623;12a20;aumento;1533846
399;LOS ALAMOS;5625;12a20;aumento;1679524
400;LOS ALAMOS;5626;12a20;aumento;1516669
401;EL CEDRO;5629;12a20;aumento;1512377
402;BOCHICA;5632;12a20;aumento;1887360
403;VILLA GLADYS;5637;12a20;aumento;1138857
404;SANTA CECILIA;5638;12a20;aumento;1840000
405;BOLIVIA ORIENTAL;5640;12a20;aumento;988658
406;ALAMOS;5643;12a20;aumento;2055291
407;VILLAS DE GRANADA;5647;12a20;aumento;1724349
408;VILLA AMALIA;5648;12a20;aumento;1561032
409;SAN ANTONIO URBANO;5660;12a20;aumento;1607813
410;LA FAENA;5666;12a20;aumento;1617801
411;CENTRO ENGATIVA II;5667;12a20;aumento;1674615
412;BOLIVIA;5675;12a20;aumento;1488754
413;VILLA DEL MAR;5680;12a20;aumento;1268814
414;QUIRIGUA I;5683;12a20;aumento;1399239
415;FLORIDA;6101;12a20;aumento;1220867
416;ESTACION CENTRAL;6204;12a20;aumento;1424294
417;SALAZAR GOMEZ;6212;12a20;aumento;1601081
418;PUENTE ARANDA;6215;12a20;aumento;1812730
419;CIUDAD SALITRE SUR-ORIENTAL;6217;12a20;aumento;1769887
420;SANTA CECILIA;6301;12a20;aumento;1530642
421;MODELIA;6311;12a20;aumento;1572202
422;MODELIA OCCIDENTAL;6312;12a20;aumento;1553397
423;SALITRE OCCIDENTAL;6313;12a20;aumento;1834035
424;CIUDAD HAYUELOS;6320;12a20;aumento;647497
425;VERSALLES FONTIBON;6401;12a20;aumento;1453659
426;PUERTA DE TEJA;6404;12a20;aumento;890230
427;FERROCAJA FONTIBON;6405;12a20;aumento;1215162
428;GUADUAL FONTIBON;6407;12a20;aumento;1518033
429;EL CARMEN FONTIBON;6408;12a20;aumento;1364909
430;BELEN FONTIBON;6409;12a20;aumento;1228189
431;SAN PABLO JERICO;6413;12a20;aumento;1118844
432;BRISAS ALDEA FONTIBON;6414;12a20;aumento;1073762
433;EL REFUGIO;6419;12a20;aumento;1367370
434;LA GIRALDA;6420;12a20;aumento;1252806
435;CASTILLA;6506;12a20;aumento;1731749
436;VILLA ALSACIA II;6510;12a20;aumento;1987330
437;MARIA PAZ;6517;12a20;aumento;1027062
438;MORAVIA;6519;12a20;aumento;1011750
439;KASANDRA;6532;12a20;aumento;1126476
440;LA SOLEDAD;7101;12a20;aumento;1699184
441;CHICO NORTE II SECTOR;8301;12a20;aumento;3973602
442;SAN MARTIN SUR;1321;12a20;aumento;709258
443;EL ROCIO;3208;12a20;aumento;289835
444;EL JARDIN;4561;12a20;aumento;993507
445;NORMANDIA;5507;12a20;aumento;1722458
446;EL DANUBIO AZUL;4588;12a20;aumento;1192344
447;MARIA CANO;2429;12a20;aumento;954972
448;LOS TRES REYES;2446;12a20;aumento;396402
449;SANTA LIBRADA NORTE;2528;12a20;aumento;507477
450;SAN FRANCISCO;2515;12a20;aumento;639561
451;RONDA;2518;12a20;aumento;617084
452;LA VALVANERA;2455;12a20;aumento;1028125
453;PENSILVANIA;4201;12a20;aumento;1497300
454;SAN FRANCISCO;4206;12a20;aumento;1712158
455;SANTA MATILDE;4209;12a20;aumento;1794519
456;JACQUELINE;4517;12a20;aumento;1088502
457;ESCOCIA;4519;12a20;aumento;1111108
458;LA PAZ BOSA;4520;12a20;aumento;810822
459;LA ESTACION BOSA;4521;12a20;aumento;1376898
460;BOSA;4522;12a20;aumento;999116
461;GRANADA;8204;12a20;aumento;2186953
462;INGEMAR;8215;12a20;aumento;3171103
463;PORCIUNCULA;8306;12a20;aumento;3124387
464;ESPARTILLAL;8312;12a20;aumento;3405143
465;RINCON DEL CHICO;8411;12a20;aumento;3099500
466;SAN RAFAEL USME;1322;12a20;aumento;144203
467;EL MOCHUELO ORIENTAL;2522;12a20;aumento;264125
468;LA FISCALA;2590;12a20;aumento;175876
469;LA RIVIERA;5670;12a20;aumento;1286300
470;MANDALAY;4531;12a20;aumento;1173111
471;SUBA URBANO;9212;12a20;aumento;981111
472;TIMIZA B;4530;12a20;aumento;1355017
473;SAN DIEGO-BOSA;4513;12a20;aumento;771361
474;PATIO BONITO;4554;12a20;aumento;1516385
475;PATIO BONITO III;4566;12a20;aumento;1262447
476;SAN CRISTOBAL NORTE;8505;12a20;aumento;1905559
477;JIMENEZ DE QUESADA;4523;12a20;aumento;1358966
478;PALERMO;7205;12a20;aumento;1539554
479;ALCAZARES;7302;12a20;aumento;1997600
480;COLOMBIA;7303;12a20;aumento;2083068
481;MUEQUETA;7307;12a20;aumento;1792500
482;SAN FELIPE;7403;12a20;aumento;1979975
483;LA MACARENA;8105;12a20;aumento;1698177
484;LA LAGUNA FONTIBON;6415;12a20;aumento;1581667
485;SANTA TERESA DE SUBA;9238;12a20;aumento;185602
486;SAN MIGUEL;5103;12a20;aumento;1613929
487;VILLAS DE GRANADA I;5649;12a20;aumento;1716024
488;INTERINDUSTRIAL;6527;12a20;aumento;570611
489;GARCES NAVAS;5627;12a20;aumento;1645197
490;BARCELONA;4303;12a20;aumento;1709560
491;COLON;4308;12a20;aumento;1747791
492;PROVIVIENDA NORTE;4310;12a20;aumento;1837721
493;REMANSO;4402;12a20;aumento;1512370
494;ALQUERIA;4409;12a20;aumento;1950360
495;VERGEL OCCIDENTAL;6514;12a20;aumento;1906813
496;VALLADOLID;6515;12a20;aumento;1718149
497;SUBA CERROS;9231;12a20;aumento;678299
498;LA CABANA;1348;12a20;aumento;194819
499;LAS GUACAMAYAS IV;1353;12a20;aumento;862440
500;LA RESURRECCION I;1431;12a20;aumento;498766
501;TINTALA;6516;12a20;aumento;782661
502;EL VERGEL;6528;12a20;aumento;1058883
503;TEUSAQUILLO;7104;12a20;aumento;1754500
504;ARMENIA;7105;12a20;aumento;1636476
505;SAN LUIS;7202;12a20;aumento;1705761
506;BARRANCAS;8507;12a20;aumento;1795143
507;CEDRO NARVAEZ;8511;12a20;aumento;1247917
508;EL LAUREL;5510;12a20;aumento;1797080
509;SANTA CECILIA;9256;12a20;aumento;1155865
