Columna1;ESTRATO;nivelAmenaza;nivelRiesgo;Val_Ref_promedio;manzanas;hectareas;;;;;;;;;;;;
54;2;NA;riesgo medio;1307453.341;41;26.25528898;;;2;15387;6260.693737;1142825.073;0.936634822;0.001104829;0.002404627;0.050107233;0.009748489;1
55;2;Amenaza Alta;riesgo medio;782738.7336;137;172.7556616;;;3;11830;6725.164665;1916062.229;0.997886729;0;8.45E-05;0.001098901;0.000929839;1
56;2;Amenaza Baja;riesgo medio;894132.6429;42;94.43557687;;;4;2381;2404.832881;2414256.445;0.999160017;0;0;0.000839983;0;1
57;2;Amenaza Media;riesgo medio;598633.8684;551;210.5341951;;;5;1037;1343.96063;3038942.097;0.995178399;0;0;0.004821601;0;1
58;3;NA;NA;1937987.706;10675;5652.153391;;;6;868;1306.577805;4351974.706;0.998847926;0;0;0.001152074;0;1
59;3;Cauce de rio o quebrada;NA;1764084;11;78.67213437;;;;;;;;;;;;
60;3;Amenaza Alta;NA;1271163.567;52;109.9467236;;;;;;;;;;;;
61;3;Amenaza Baja;NA;1821889.325;690;398.545446;;;;;;;;;;;;
62;3;Amenaza Media;NA;1589421.471;377;365.4781426;;;;;;;;;;;;
63;3;Amenaza Alta;riesgo ARNM;1700000;1;5.558660211;;;;;;;;;;;;
64;3;NA;riesgo bajo;1450000;2;1.149492598;;;;;;;;;;;;
65;3;Amenaza Baja;riesgo bajo;1600000;7;9.617858741;;;;;;;;;;;;
66;3;Amenaza Media;riesgo bajo;1125000;2;0.654218032;;;;;;;;;;;;
67;3;Amenaza Baja;riesgo medio;1582645.1;10;75.24327703;;;;;;;;;;;;
68;3;Amenaza Media;riesgo medio;1100000;3;28.14532051;;;;;;;;;;;;
69;4;NA;NA;2358870.447;2042;1896.636087;;;;;;;;;;;;
70;4;Cauce de rio o quebrada;NA;1154162.8;5;6.846304799;;;;;;;;;;;;
71;4;Amenaza Alta;NA;2317568.148;44;119.6161785;;;;;;;;;;;;
72;4;Amenaza Baja;NA;2804993.61;159;179.3736657;;;;;;;;;;;;
73;4;Amenaza Media;NA;2920103.461;129;197.4709125;;;;;;;;;;;;
74;4;Amenaza Alta;riesgo medio;5.00E+05;1;1.53964582;;;;;;;;;;;;
75;4;Amenaza Media;riesgo medio;6.00E+05;1;3.350086972;;;;;;;;;;;;
76;5;NA;NA;3021938.212;826;1007.801472;;;;;;;;;;;;
77;5;Cauce de rio o quebrada;NA;1737055;1;7.651591516;;;;;;;;;;;;
78;5;Amenaza Alta;NA;1837212.036;28;104.8659871;;;;;;;;;;;;
79;5;Amenaza Baja;NA;3732812.5;128;126.4737106;;;;;;;;;;;;
80;5;Amenaza Media;NA;2505877.551;49;91.52329689;;;;;;;;;;;;
81;5;Amenaza Alta;riesgo medio;795000;1;1.917041993;;;;;;;;;;;;
82;5;Amenaza Media;riesgo medio;175000;4;3.727529813;;;;;;;;;;;;
83;6;NA;NA;4572234.789;455;558.9938129;;;;;;;;;;;;
84;6;Amenaza Alta;NA;3636466.78;91;253.304888;;;;;;;;;;;;
85;6;Amenaza Baja;NA;5624175.321;102;135.5226427;;;;;;;;;;;;
86;6;Amenaza Media;NA;3618396.603;219;347.1954619;;;;;;;;;;;;
87;6;Amenaza Media;riesgo medio;134000;1;11.56099989;;;;;;;;;;;;
total;;;;93704191.61;43902;29914.24203;;;;;;;;;;;;
