OID_;OBJECTID;cod_ct;riesgo;localidad;barmanpre;chip;fecha_ct;año;shape_Leng;Shape_Le_1;Shape_Area
0;3;CT-8692;A;RAFAEL URIBE URIBE;001420031010;AAA0010JPSY;15/01/2020;2020;39,325276705000000;39,325276705000000;68,661454597599999
1;10;CT-8692;A;RAFAEL URIBE URIBE;001420031023;AAA0170PFAF;15/01/2020;2020;37,855221898499998;37,855221898499998;69,518343255700003
2;11;CT-8692;A;RAFAEL URIBE URIBE;001420031022;AAA0010JPRJ;15/01/2020;2020;36,719282125399999;36,719282125399999;73,110222810099998
3;12;CT-8692;A;RAFAEL URIBE URIBE;001420031014;AAA0010JPWW;15/01/2020;2020;36,586306171399997;36,586306171399997;74,014369901400002
4;13;CT-8692;ANM;RAFAEL URIBE URIBE;001420038001;AAA0010JWCX;15/01/2020;2020;33,053172750000002;33,053172750000002;65,920806848500007
5;14;CT-8692;A;RAFAEL URIBE URIBE;001420037025;AAA0243AWWW;15/01/2020;2020;36,463687991699999;36,463687991699999;66,488642552000002
6;46;CT-8692;A;RAFAEL URIBE URIBE;001420039012;AAA0167WDUH;15/01/2020;2020;48,299372362699998;48,299372362699998;149,231670251999986
7;47;CT-8692;A;RAFAEL URIBE URIBE;001420037046;AAA0167WEAF;15/01/2020;2020;28,799890702700001;28,799890702700001;32,463874652700000
8;58;CT-8692;A;RAFAEL URIBE URIBE;001420037045;AAA0167WDYN;15/01/2020;2020;34,154198225400002;34,154198225400002;63,939888042500002
9;59;CT-8692;A;RAFAEL URIBE URIBE;001420037044;AAA0167WEMS;15/01/2020;2020;33,310530587400002;33,310530587400002;60,862556812999998
10;60;CT-8692;A;RAFAEL URIBE URIBE;001420037014;AAA0010JUJH;15/01/2020;2020;30,529645244200001;30,529645244200001;41,246298027300000
11;85;CT-8692;ANM;RAFAEL URIBE URIBE;001420036006;AAA0229MNMS;15/01/2020;2020;39,717877484900001;39,717877484900001;93,863223217300003
12;139;CT-8692;ANM;RAFAEL URIBE URIBE;001420036028;AAA0215NLWF;15/01/2020;2020;33,658493267200001;33,658493267200001;63,966501292799997
13;140;CT-8692;ANM;RAFAEL URIBE URIBE;001420036004;AAA0010JSXR;15/01/2020;2020;33,992011174600002;33,992011174600002;65,829443070500005
14;141;CT-8692;ANM;RAFAEL URIBE URIBE;001420036035;AAA0229MNNN;15/01/2020;2020;34,563577566399999;34,563577566399999;68,003913714800007
15;142;CT-8692;ANM;RAFAEL URIBE URIBE;001420036026;AAA0170PFHY;15/01/2020;2020;36,497888797400002;36,497888797400002;72,947856180100004
16;143;CT-8692;ANM;RAFAEL URIBE URIBE;001420036030;AAA0216BZJZ;15/01/2020;2020;34,767743256199999;34,767743256199999;68,166409726099999
17;144;CT-8692;ANM;RAFAEL URIBE URIBE;001420036003;AAA0010JSWF;15/01/2020;2020;35,189963591100003;35,189963591100003;69,620768507099996
18;148;CT-8692;ANM;RAFAEL URIBE URIBE;001420036026;AAA0170PFHY;15/01/2020;2020;36,436990767499999;36,436990767499999;72,864391973799997
19;153;CT-8692;A;RAFAEL URIBE URIBE;001420037045;AAA0167WDYN;15/01/2020;2020;28,949406067200002;28,949406067200002;33,879734196599998
20;154;CT-8692;A;RAFAEL URIBE URIBE;001420037043;AAA0167WDXS;15/01/2020;2020;28,820132398300000;28,820132398300000;33,964451633800003
21;155;CT-8692;A;RAFAEL URIBE URIBE;001420031015;AAA0189JYNX;15/01/2020;2020;37,770801210700000;37,770801210700000;81,960930517199998
22;156;CT-8692;A;RAFAEL URIBE URIBE;001420031013;AAA0181BUZE;15/01/2020;2020;47,884651878200003;47,884651878200003;99,801277264500001
23;168;CT-8692;ANM;RAFAEL URIBE URIBE;001420036026;AAA0170PFHY;15/01/2020;2020;36,497810494299998;36,497810494299998;73,472688379700003
24;170;CT-8692;A;RAFAEL URIBE URIBE;001420039013;AAA0010JWTO;15/01/2020;2020;47,527206370199998;47,527206370199998;100,939624249999994
25;174;CT-8692;A;RAFAEL URIBE URIBE;001420015006;AAA0010HLSY;15/01/2020;2020;57,202335093099997;57,202335093099997;155,301369894999993
26;175;CT-8692;A;RAFAEL URIBE URIBE;001420015007;AAA0010HLTD;15/01/2020;2020;59,782788563300002;59,782788563300002;184,383691706999997
27;176;CT-8692;A;RAFAEL URIBE URIBE;001420015008;AAA0010HLUH;15/01/2020;2020;73,738575318800002;73,738575318800002;333,523141534999979
28;177;CT-8692;A;RAFAEL URIBE URIBE;001420015009;AAA0010HLWW;15/01/2020;2020;53,445029024100002;53,445029024100002;133,354086558999995
29;178;CT-8692;ANM;RAFAEL URIBE URIBE;001420015010;AAA0010HLXS;15/01/2020;2020;49,902176596499999;49,902176596499999;109,666492109999993
30;179;CT-8692;ANM;RAFAEL URIBE URIBE;001420015011;AAA0010HLYN;15/01/2020;2020;54,653396220099999;54,653396220099999;154,712526330000003
31;180;CT-8692;ANM;RAFAEL URIBE URIBE;001420015017;AAA0159MPRU;15/01/2020;2020;54,559401577099997;54,559401577099997;149,917157720000006
32;181;CT-8692;ANM;RAFAEL URIBE URIBE;001420015012;AAA0010HLZE;15/01/2020;2020;57,567299990000002;57,567299990000002;159,376853904999990
33;182;CT-8692;ANM;RAFAEL URIBE URIBE;001420015013;AAA0010HMAF;15/01/2020;2020;55,626749773999997;55,626749773999997;110,672057765999995
34;183;CT-8692;ANM;RAFAEL URIBE URIBE;001420015014;AAA0010HMBR;15/01/2020;2020;75,443394176799998;75,443394176799998;247,871443574000011
35;184;CT-8692;ANM;RAFAEL URIBE URIBE;001420015015;AAA0010HMCX;15/01/2020;2020;34,844116776900002;34,844116776900002;67,740053719399995
36;238;CT-8692;A;RAFAEL URIBE URIBE;001420030022;AAA0010JODM;15/01/2020;2020;37,214215958099999;37,214215958099999;78,104252500699999
37;307;CT-8727;ANM;CHAPINERO;008220029008;AAA0092FDMR;25/02/2020;2020;22,486697662600001;22,486697662600001;23,512428795600002
38;308;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,644166876200000;28,644166876200000;50,303976062799997
39;309;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;30,621208063099999;30,621208063099999;57,173956079500002
40;310;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,828405977500001;28,828405977500001;47,537385622400002
41;311;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;32,508775431899998;32,508775431899998;67,222746208399997
42;312;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;25,955150993699998;25,955150993699998;41,595902622099999
43;313;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;39,752824948600001;39,752824948600001;66,885071734199997
44;314;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;33,614984403199998;33,614984403199998;64,696988856199994
45;315;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;21,404046100199999;21,404046100199999;24,929013060900001
46;316;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;25,514278161499998;25,514278161499998;30,564132903299999
47;317;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;24,029057128800002;24,029057128800002;36,056701118900001
48;318;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;22,704466730800000;22,704466730800000;25,962327267599999
49;319;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,083993103800001;28,083993103800001;49,524805019900001
50;320;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,657347822900000;28,657347822900000;46,286103704500000
51;321;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,973749432799998;28,973749432799998;47,575331481100001
52;322;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;55,788923582400002;55,788923582400002;190,229808211000005
53;323;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,991762620300001;28,991762620300001;49,927540197399999
54;324;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;39,658654430900000;39,658654430900000;81,286207487200002
55;325;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;43,346694488200001;43,346694488200001;104,674876619000003
56;326;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;37,211871042500000;37,211871042500000;74,244856269300001
57;327;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;37,076213188300002;37,076213188300002;69,189882991700003
58;328;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;38,697310302900000;38,697310302900000;69,090248486999997
59;329;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;50,230169641099998;50,230169641099998;137,616674060999998
60;330;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;45,981344011700003;45,981344011700003;132,641916527999996
61;331;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;26,726515142800000;26,726515142800000;41,639685848699997
62;332;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;34,652120008499999;34,652120008499999;63,025740464499997
63;333;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,765019212799999;35,765019212799999;76,302472529900001
64;334;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;38,098711824699997;38,098711824699997;77,927038594699994
65;335;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;36,919808508499997;36,919808508499997;79,094097529500004
66;336;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;29,509249573900000;29,509249573900000;53,474772588000000
67;337;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,691976777499999;28,691976777499999;50,507084078799998
68;338;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;20,308627576599999;20,308627576599999;25,066598070700000
69;339;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;26,448365780400000;26,448365780400000;37,501764852500003
70;340;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;24,934422762600001;24,934422762600001;26,230009248100000
71;341;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,256268712000001;31,256268712000001;59,735987097299997
72;342;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;27,860601961400000;27,860601961400000;37,902850463400000
73;343;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;21,226518982700000;21,226518982700000;26,950373564000000
74;344;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;18,467049403899999;18,467049403899999;19,665353351200000
75;345;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;25,958430876200001;25,958430876200001;34,427784931200001
76;346;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;22,637066949600001;22,637066949600001;30,920093246200000
77;347;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;27,919138819299999;27,919138819299999;48,605475729200002
78;348;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;22,278317048000002;22,278317048000002;31,278227809499999
79;349;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;25,686513027499998;25,686513027499998;38,573761387099999
80;350;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,127140454999999;31,127140454999999;51,613970803199997
81;351;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;37,967547331200002;37,967547331200002;80,193550883000000
82;352;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,858092560300001;31,858092560300001;58,002934699199997
83;353;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;43,300406275299999;43,300406275299999;88,496085937999993
84;354;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;24,062169534599999;24,062169534599999;34,432413924300000
85;355;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,556506706099999;28,556506706099999;40,987229138200000
86;356;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,003836888599999;35,003836888599999;50,791094160999997
87;357;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;32,063382911600002;32,063382911600002;62,851885114300003
88;358;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;32,432723684400003;32,432723684400003;50,544076690700003
89;359;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;32,353212958599997;32,353212958599997;54,911030575700003
90;360;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;24,652680816600000;24,652680816600000;37,191570021300002
91;361;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;19,700812937599999;19,700812937599999;24,239239602700000
92;362;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;29,906667724300000;29,906667724300000;55,992735509200003
93;363;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,196138665299998;35,196138665299998;66,396974482000005
94;364;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;39,196144005699999;39,196144005699999;79,216036637399995
95;365;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,754048426899999;28,754048426899999;38,270467731600000
96;366;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;24,299156379999999;24,299156379999999;33,389603241099998
97;367;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;30,059963010800001;30,059963010800001;56,006263592899998
98;368;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;23,945108060999999;23,945108060999999;35,539514267599998
99;369;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;26,745891818400001;26,745891818400001;43,440871446499997
100;370;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;21,699530510900001;21,699530510900001;29,353359885300002
101;371;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;34,645133987500003;34,645133987500003;66,982634982600004
102;372;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,330703105500000;35,330703105500000;73,488033960799996
103;373;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;34,884067766000001;34,884067766000001;69,361931607599999
104;374;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,437996328099999;28,437996328099999;48,362269878299998
105;375;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,518391932099998;31,518391932099998;61,625969340899999
106;376;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;32,763646895599997;32,763646895599997;56,950789986700002
107;377;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;30,099085104099998;30,099085104099998;43,189890657100001
108;378;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;49,904291960000002;49,904291960000002;139,318497342000001
109;379;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;22,984265412300001;22,984265412300001;26,921041697900002
110;380;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;27,077446356199999;27,077446356199999;44,718392099299997
111;381;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;38,963125739699997;38,963125739699997;62,654771539800002
112;382;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;23,591729253699999;23,591729253699999;34,808313428100000
113;383;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,560657806099996;35,560657806099996;51,915192824499997
114;384;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,083326245599999;31,083326245599999;51,172829097399998
115;385;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;24,357464583999999;24,357464583999999;36,599610318800003
116;386;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;39,085187824199998;39,085187824199998;82,863166350900002
117;387;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;23,463116182899999;23,463116182899999;31,369405005499999
118;388;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;38,735211887200002;38,735211887200002;84,193043036999995
119;389;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;39,358269561400000;39,358269561400000;81,144592116599995
120;390;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;56,883842551400001;56,883842551400001;162,857827246999989
121;391;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;42,519479366299997;42,519479366299997;98,817799882499997
122;392;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;48,554306252400004;48,554306252400004;139,537025709000005
123;393;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,412896592899997;35,412896592899997;75,753167745100001
124;394;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;32,247368321700002;32,247368321700002;45,467758191300000
125;395;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;34,791574246499998;34,791574246499998;64,003669520399995
126;396;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;22,384253133500000;22,384253133500000;28,873590791000002
127;397;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,211274207599999;35,211274207599999;65,712583545399994
128;398;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;34,893643739300003;34,893643739300003;68,783588664899995
129;399;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;36,974785634200003;36,974785634200003;66,415987001199994
130;400;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;47,431441004400000;47,431441004400000;137,221810726000001
131;401;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;44,090500254699997;44,090500254699997;98,900159613699998
132;402;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;23,467328711899999;23,467328711899999;34,176357412300000
133;403;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;37,942945626099998;37,942945626099998;85,551413125699995
134;404;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,446300097400002;31,446300097400002;54,258321728299997
135;405;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,817790554100000;31,817790554100000;51,214126358000001
136;406;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;21,460634183900002;21,460634183900002;24,795161776099999
137;407;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;33,802529267200001;33,802529267200001;51,622575193800003
138;408;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;20,076327984799999;20,076327984799999;21,846604439499998
139;409;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,658809408600000;31,658809408600000;59,119717998299997
140;410;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;37,318774938099999;37,318774938099999;69,212603692200005
141;411;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,301564188299999;28,301564188299999;35,562990465399999
142;412;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;29,667041946699999;29,667041946699999;46,536949377799999
143;413;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;21,013443664099999;21,013443664099999;27,576852122300000
144;414;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;21,541580395800001;21,541580395800001;21,697539500300000
145;415;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;25,798336848800002;25,798336848800002;37,362819415700002
146;416;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;12,033274419600000;12,033274419600000;8,732646424610000
147;417;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,285717244099999;35,285717244099999;73,864921611400007
148;418;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;20,412845668599999;20,412845668599999;25,347268213500001
149;419;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;12,990242973899999;12,990242973899999;10,287398327200000
150;420;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;20,224948492999999;20,224948492999999;22,350296382800000
151;421;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,367973437499998;35,367973437499998;50,401248537599997
152;422;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;40,501492869200000;40,501492869200000;100,400946942999994
153;423;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;35,791904429100001;35,791904429100001;75,920729644999994
154;424;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;31,368808825399999;31,368808825399999;34,470225187099999
155;425;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;26,427985070500000;26,427985070500000;43,244712626599998
156;426;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;39,391069257500000;39,391069257500000;72,301539832299994
157;427;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;22,164750593800001;22,164750593800001;28,886010500600001
158;428;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;29,092373777399999;29,092373777399999;44,855071257799999
159;429;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;28,116281760700002;28,116281760700002;44,948620736499997
160;430;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;14,589718523600000;14,589718523600000;12,595591649699999
161;431;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;21,207294656500000;21,207294656500000;26,409662563800001
162;432;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;22,516386570800002;22,516386570800002;25,490820853599999
163;433;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;22,378023465700000;22,378023465700000;25,159963702500001
164;434;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;21,136312246399999;21,136312246399999;27,009281089400002
165;435;CT-8718;ANM;CIUDAD BOLIVAR; ; ;24/02/2020;2020;29,983301985099999;29,983301985099999;54,761884357200003
166;994;CT-8756;A;RAFAEL URIBE URIBE;001420006001;AAA0010FZJZ;23/06/2020;2020;59,292785995000003;59,292785995000003;175,936932864999989
167;997;CT-8756;A;RAFAEL URIBE URIBE;001420055008;AAA0010KFAF;23/06/2020;2020;43,975641647700002;43,975641647700002;111,187798396999995
168;998;CT-8756;A;RAFAEL URIBE URIBE;001420055007;AAA0010KEZE;23/06/2020;2020;44,831941249400003;44,831941249400003;101,931071677000006
169;999;CT-8756;A;RAFAEL URIBE URIBE;001420055004;AAA0010KEWW;23/06/2020;2020;41,329542802399999;41,329542802399999;84,605468171799998
170;1001;CT-8756;A;RAFAEL URIBE URIBE;001420055001;AAA0010KESY;23/06/2020;2020;53,104688027199998;53,104688027199998;123,003176783000001
171;1002;CT-8756;A;RAFAEL URIBE URIBE;001420055006;AAA0010KEYN;23/06/2020;2020;39,406062534400000;39,406062534400000;81,418750141700002
172;1003;CT-8756;A;RAFAEL URIBE URIBE;001420055005;AAA0010KEXS;23/06/2020;2020;44,081011385899998;44,081011385899998;98,720139869799993
173;1004;CT-8756;A;RAFAEL URIBE URIBE;001420055003;AAA0010KEUH;23/06/2020;2020;46,448637075000001;46,448637075000001;105,038585521000002
174;1005;CT-8756;A;RAFAEL URIBE URIBE;001420055002;AAA0010KETD;23/06/2020;2020;49,810553247599998;49,810553247599998;109,378182260000003
175;1007;CT-8756;A;RAFAEL URIBE URIBE;001420055009;S/I;23/06/2020;2020;54,066276515500000;54,066276515500000;179,800793220000003
176;1068;CT-8725;ANM;SAN CRISTÓBAL;001307007038;AAA0003ACCN;15/02/2020;2020;37,967958780200000;37,967958780200000;90,035822379300001
177;1069;CT-8725;A;SAN CRISTÓBAL;001307007001;AAA0003AALF;15/02/2020;2020;39,100049533600000;39,100049533600000;94,260281801900007
178;1070;CT-8725;A;SAN CRISTÓBAL;001307007001;AAA0003AALF;15/02/2020;2020;52,075429798499997;52,075429798499997;122,392115652000001
179;1071;CT-8725;A;SAN CRISTÓBAL;001307007004;AAA0003AAOM;15/02/2020;2020;52,268229103199999;52,268229103199999;122,893105204999998
180;1072;CT-8725;A;SAN CRISTÓBAL;001307007004;AAA0003AAOM;15/02/2020;2020;53,151443046099999;53,151443046099999;129,559997538999994
181;1073;CT-8725;A;SAN CRISTÓBAL;001307007033;AAA0003ABXR;15/02/2020;2020;54,631871544100001;54,631871544100001;157,139119101000006
182;1126;CT-8725;A;SAN CRISTÓBAL;001307012021;AAA0003ALLW;15/02/2020;2020;101,390040315999997;101,390040315999997;321,054875616000004
183;1128;CT-8725;A;SAN CRISTÓBAL;001307012024;AAA0003ALOE;15/02/2020;2020;60,771730261199998;60,771730261199998;144,937721482000001
184;1129;CT-8725;A;SAN CRISTÓBAL;001307012026;AAA0003ALRU;15/02/2020;2020;65,162465687799994;65,162465687799994;193,641190733000002
185;1130;CT-8725;ANM;SAN CRISTÓBAL;001307012026;AAA0003ALRU;15/02/2020;2020;61,721366795999998;61,721366795999998;197,064576987999999
186;1131;CT-8725;ANM;SAN CRISTÓBAL;001307012030;AAA0003AAKC;15/02/2020;2020;35,720738326800003;35,720738326800003;73,933600680200001
187;1132;CT-8725;ANM;SAN CRISTÓBAL;001307012020;AAA0003ALKL;15/02/2020;2020;43,521062993400001;43,521062993400001;112,396602506999997
188;1133;CT-8725;ANM;SAN CRISTÓBAL;001307012020;AAA0003ALKL;15/02/2020;2020;26,968237319800000;26,968237319800000;44,574732504899998
189;1134;CT-8725;A;SAN CRISTÓBAL;001307012032;AAA0167PMOM;15/02/2020;2020;57,102591466900002;57,102591466900002;164,975738428999989
190;1135;CT-8725;ANM;SAN CRISTÓBAL;001307012032;AAA0167PMOM;15/02/2020;2020;41,004853411600003;41,004853411600003;97,253656104900003
191;1152;CT-8725;A;SAN CRISTÓBAL;001307012032;AAA0167PMOM;15/02/2020;2020;83,396786671399994;83,396786671399994;398,304434297999990
192;1313;CT-8725;ANM;SAN CRISTÓBAL;001307021015;AAA0165PRDM;15/02/2020;2020;136,067503673999994;136,067503673999994;1208,020487989999992
193;1314;CT-8725;ANM;SAN CRISTÓBAL;001113058015; ;15/02/2020;2020;53,709239040400000;53,709239040400000;172,096149005999990
194;1379;CT-8725;ANM;SAN CRISTÓBAL;001307017013;AAA0003ANCX;15/02/2020;2020;36,432861897400002;36,432861897400002;70,751337601200007
195;1380;CT-8725;ANM;SAN CRISTÓBAL;001307017008;AAA0003ANPP;15/02/2020;2020;66,017893237400003;66,017893237400003;198,039249976000008
196;1381;CT-8725;ANM;SAN CRISTÓBAL;001307017005;AAA0003AOFZ;15/02/2020;2020;56,998110424200000;56,998110424200000;167,081717754000010
197;1382;CT-8725;ANM;SAN CRISTÓBAL;001307017008;AAA0003ANPP;15/02/2020;2020;58,811921234499998;58,811921234499998;172,399436952999991
198;1383;CT-8725;ANM;SAN CRISTÓBAL;001307017008;AAA0003ANPP;15/02/2020;2020;49,094173028000000;49,094173028000000;135,097115768000009
